Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR1552444 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.1)	(5, 0.1)	(6, 0.1)	(7, 0.1)	(8, 0.1)	(9, 0.1)	(10, 0.1)	(12, 0.1)	(14, 0.1)	(16, 0.1)	(18, 0.1)	(20, 0.1)	(22, 0.1)	(24, 0.1)	(26, 0.1)	(28, 0.1)	(30, 0.2)	(32, 0.2)	(34, 0.2)	(36, 0.2)	(38, 0.2)	(40, 0.2)	(42, 0.2)	(44, 0.2)	(46, 0.2)	(48, 0.2)	(50, 0.2)	(52, 0.2)	(54, 0.2)	(56, 0.2)	(58, 0.2)	(60, 0.2)	(62, 0.2)	(64, 0.2)	(66, 0.2)	(68, 0.2)	(70, 0.2)	(72, 0.2)	(74, 0.2)	(76, 0.2)	(78, 0.2)	(80, 0.2)	(82, 0.2)	(84, 0.30000000000000004)	(86, 0.4)	(88, 0.4)
SRR1552444 - polya	(1, 0.1)	(2, 0.1)	(3, 0.1)	(4, 0.1)	(5, 0.1)	(6, 0.1)	(7, 0.1)	(8, 0.1)	(9, 0.1)	(10, 0.1)	(12, 0.1)	(14, 0.1)	(16, 0.1)	(18, 0.1)	(20, 0.1)	(22, 0.1)	(24, 0.1)	(26, 0.1)	(28, 0.1)	(30, 0.1)	(32, 0.1)	(34, 0.1)	(36, 0.2)	(38, 0.2)	(40, 0.2)	(42, 0.2)	(44, 0.2)	(46, 0.2)	(48, 0.2)	(50, 0.2)	(52, 0.2)	(54, 0.2)	(56, 0.2)	(58, 0.2)	(60, 0.2)	(62, 0.2)	(64, 0.2)	(66, 0.2)	(68, 0.3)	(70, 0.3)	(72, 0.3)	(74, 0.3)	(76, 0.3)	(78, 0.3)	(80, 0.3)	(82, 0.4)	(84, 0.4)	(86, 0.4)	(88, 0.4)
SRR1552444 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.05)	(56, 0.1)	(58, 0.1)	(60, 0.1)	(62, 0.1)	(64, 0.1)	(66, 0.1)	(68, 0.1)	(70, 0.1)	(72, 0.1)	(74, 0.1)	(76, 0.1)	(78, 0.1)	(80, 0.1)	(82, 0.1)	(84, 0.1)	(86, 0.1)	(88, 0.1)
SRR1552445 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.05)	(64, 0.1)	(66, 0.1)	(68, 0.1)	(70, 0.1)	(72, 0.1)	(74, 0.1)	(76, 0.1)	(78, 0.1)	(80, 0.1)	(82, 0.1)	(84, 0.1)	(86, 0.1)	(88, 0.1)
SRR1552445 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.05)	(44, 0.1)	(46, 0.1)	(48, 0.1)	(50, 0.1)	(52, 0.1)	(54, 0.1)	(56, 0.1)	(58, 0.1)	(60, 0.1)	(62, 0.1)	(64, 0.1)	(66, 0.1)	(68, 0.1)	(70, 0.1)	(72, 0.15000000000000002)	(74, 0.2)	(76, 0.2)	(78, 0.2)	(80, 0.2)	(82, 0.2)	(84, 0.2)	(86, 0.2)	(88, 0.2)
SRR1552446 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.1)	(86, 0.1)	(88, 0.2)
SRR1552446 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.15000000000000002)	(48, 0.2)	(50, 0.2)	(52, 0.2)	(54, 0.2)	(56, 0.2)	(58, 0.2)	(60, 0.2)	(62, 0.2)	(64, 0.2)	(66, 0.2)	(68, 0.2)	(70, 0.2)	(72, 0.2)	(74, 0.2)	(76, 0.2)	(78, 0.2)	(80, 0.2)	(82, 0.2)	(84, 0.2)	(86, 0.2)	(88, 0.3)
SRR1552447 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.2)	(74, 0.2)	(76, 0.2)	(78, 0.2)	(80, 0.2)	(82, 0.2)	(84, 0.2)	(86, 0.2)	(88, 0.25)
SRR1552447 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.05)	(80, 0.1)	(82, 0.1)	(84, 0.1)	(86, 0.1)	(88, 0.1)
SRR1552448 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.1)	(76, 0.1)	(78, 0.1)	(80, 0.1)	(82, 0.1)	(84, 0.1)	(86, 0.2)	(88, 0.2)
