Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR1552444	(1, 33.103)	(2, 33.245)	(3, 33.27)	(4, 36.606)	(5, 36.371)	(6, 36.514)	(7, 36.461)	(8, 36.417)	(9, 38.331)	(10, 38.338)	(12, 38.236000000000004)	(14, 39.7975)	(16, 39.814)	(18, 39.83)	(20, 39.7705)	(22, 39.6535)	(24, 39.6005)	(26, 39.19)	(28, 39.343)	(30, 39.415)	(32, 39.2425)	(34, 39.106)	(36, 39.0125)	(38, 38.9755)	(40, 39.2205)	(42, 38.9095)	(44, 38.902)	(46, 38.7695)	(48, 38.2695)	(50, 38.1015)	(52, 37.9585)	(54, 37.6475)	(56, 37.432)	(58, 37.1375)	(60, 36.921)	(62, 36.7975)	(64, 36.591499999999996)	(66, 36.1095)	(68, 35.674)	(70, 35.207)	(72, 32.426500000000004)	(74, 32.4195)	(76, 31.1495)	(78, 31.9375)	(80, 31.7805)	(82, 31.7785)	(84, 32.5235)	(86, 32.6525)	(88, 32.5015)	(90, 32.515)	(92, 32.218)	(94, 32.129999999999995)	(96, 32.0195)	(98, 31.8425)	(100, 31.658)
SRR1552445	(1, 33.051)	(2, 33.142)	(3, 33.231)	(4, 36.548)	(5, 36.283)	(6, 36.49)	(7, 36.401)	(8, 36.371)	(9, 38.265)	(10, 38.206500000000005)	(12, 38.185500000000005)	(14, 39.763999999999996)	(16, 39.699)	(18, 39.7275)	(20, 39.495000000000005)	(22, 39.472)	(24, 39.459)	(26, 39.161500000000004)	(28, 39.174)	(30, 39.0775)	(32, 38.9625)	(34, 38.768)	(36, 38.632)	(38, 38.6155)	(40, 38.783500000000004)	(42, 38.5875)	(44, 38.424)	(46, 38.3925)	(48, 38.1515)	(50, 38.012)	(52, 37.778999999999996)	(54, 37.5025)	(56, 37.3635)	(58, 37.175)	(60, 36.7745)	(62, 36.709)	(64, 36.424499999999995)	(66, 36.0035)	(68, 35.541)	(70, 35.006)	(72, 32.385000000000005)	(74, 32.310500000000005)	(76, 31.0335)	(78, 31.928)	(80, 31.915)	(82, 31.8575)	(84, 32.374)	(86, 32.455)	(88, 32.471999999999994)	(90, 32.200500000000005)	(92, 32.009)	(94, 31.9605)	(96, 31.8285)	(98, 31.374000000000002)	(100, 31.283)
SRR1552446	(1, 33.009)	(2, 33.151)	(3, 33.234)	(4, 36.56)	(5, 36.298)	(6, 36.333)	(7, 36.36)	(8, 36.381)	(9, 38.122)	(10, 38.187)	(12, 38.102000000000004)	(14, 39.7695)	(16, 39.719)	(18, 39.66)	(20, 39.664500000000004)	(22, 39.524)	(24, 39.5045)	(26, 39.170500000000004)	(28, 39.260999999999996)	(30, 39.229)	(32, 39.179)	(34, 38.883)	(36, 38.711)	(38, 38.7885)	(40, 38.753)	(42, 38.596000000000004)	(44, 38.5)	(46, 38.236)	(48, 38.0575)	(50, 37.7585)	(52, 37.592)	(54, 37.322500000000005)	(56, 37.2495)	(58, 37.015)	(60, 36.6515)	(62, 36.548)	(64, 36.2145)	(66, 35.893)	(68, 35.548500000000004)	(70, 35.126000000000005)	(72, 32.1935)	(74, 32.120999999999995)	(76, 30.685)	(78, 31.7345)	(80, 31.5685)	(82, 31.502)	(84, 32.164)	(86, 32.263999999999996)	(88, 32.225)	(90, 32.11)	(92, 31.9185)	(94, 31.646)	(96, 31.543)	(98, 31.3395)	(100, 31.431)
SRR1552447	(1, 32.955)	(2, 33.132)	(3, 33.188)	(4, 36.513)	(5, 36.231)	(6, 36.34)	(7, 36.339)	(8, 36.341)	(9, 38.177)	(10, 38.229)	(12, 38.173)	(14, 39.677)	(16, 39.6815)	(18, 39.611999999999995)	(20, 39.591)	(22, 39.4825)	(24, 39.3675)	(26, 39.143)	(28, 39.2175)	(30, 39.1315)	(32, 38.995999999999995)	(34, 39.052)	(36, 38.782)	(38, 38.873)	(40, 38.9885)	(42, 38.855999999999995)	(44, 38.7635)	(46, 38.4965)	(48, 38.266999999999996)	(50, 38.0325)	(52, 38.028999999999996)	(54, 37.678)	(56, 37.547)	(58, 37.3475)	(60, 37.225)	(62, 37.0305)	(64, 36.790499999999994)	(66, 36.489000000000004)	(68, 36.096999999999994)	(70, 35.5945)	(72, 33.090500000000006)	(74, 32.9785)	(76, 31.633499999999998)	(78, 32.5355)	(80, 32.3155)	(82, 32.2155)	(84, 32.8845)	(86, 33.1185)	(88, 32.962)	(90, 32.787000000000006)	(92, 32.581)	(94, 32.554)	(96, 32.6005)	(98, 32.079499999999996)	(100, 32.017)
SRR1552448	(1, 32.956)	(2, 33.084)	(3, 33.15)	(4, 36.476)	(5, 36.173)	(6, 36.382)	(7, 36.308)	(8, 36.341)	(9, 38.165)	(10, 38.103)	(12, 38.187)	(14, 39.736000000000004)	(16, 39.608000000000004)	(18, 39.685)	(20, 39.676)	(22, 39.5215)	(24, 39.439)	(26, 39.192499999999995)	(28, 39.262)	(30, 39.238)	(32, 39.134)	(34, 38.934)	(36, 38.805)	(38, 38.937)	(40, 38.979)	(42, 38.8785)	(44, 38.866)	(46, 38.703)	(48, 38.2595)	(50, 38.238)	(52, 38.028499999999994)	(54, 37.67700000000001)	(56, 37.636)	(58, 37.563500000000005)	(60, 37.4525)	(62, 37.29)	(64, 36.7795)	(66, 36.432)	(68, 36.0835)	(70, 35.561499999999995)	(72, 32.298500000000004)	(74, 32.3685)	(76, 30.996000000000002)	(78, 31.850500000000004)	(80, 31.747500000000002)	(82, 31.8235)	(84, 32.564499999999995)	(86, 32.6165)	(88, 32.72)	(90, 32.5275)	(92, 32.3595)	(94, 32.3435)	(96, 32.1365)	(98, 31.862)	(100, 31.615)
SRR1552449	(1, 32.876)	(2, 33.051)	(3, 33.116)	(4, 36.461)	(5, 36.291)	(6, 36.337)	(7, 36.321)	(8, 36.323)	(9, 38.252)	(10, 38.1185)	(12, 38.1545)	(14, 39.599500000000006)	(16, 39.638000000000005)	(18, 39.611000000000004)	(20, 39.5755)	(22, 39.417500000000004)	(24, 39.373)	(26, 39.1515)	(28, 39.1835)	(30, 39.063)	(32, 38.948499999999996)	(34, 38.8005)	(36, 38.6855)	(38, 38.7365)	(40, 38.9255)	(42, 38.649)	(44, 38.686499999999995)	(46, 38.4315)	(48, 38.311)	(50, 38.1355)	(52, 37.843)	(54, 37.614000000000004)	(56, 37.474000000000004)	(58, 37.3885)	(60, 37.1145)	(62, 37.1845)	(64, 36.8665)	(66, 36.388999999999996)	(68, 36.203)	(70, 35.644000000000005)	(72, 32.742999999999995)	(74, 32.5245)	(76, 31.316000000000003)	(78, 32.3875)	(80, 32.182)	(82, 32.311499999999995)	(84, 32.974000000000004)	(86, 33.019499999999994)	(88, 32.9985)	(90, 32.712)	(92, 32.5755)	(94, 32.534499999999994)	(96, 32.445)	(98, 32.104)	(100, 32.092)
SRR1552450	(1, 32.962)	(2, 33.103)	(3, 33.01)	(4, 36.068)	(5, 36.116)	(6, 36.285)	(7, 36.468)	(8, 36.424)	(9, 38.089)	(10, 38.2475)	(12, 38.182)	(14, 39.864000000000004)	(16, 39.8365)	(18, 39.858000000000004)	(20, 39.4275)	(22, 39.662000000000006)	(24, 39.518)	(26, 39.476)	(28, 39.3365)	(30, 39.1905)	(32, 39.039)	(34, 39.11450000000001)	(36, 38.944)	(38, 38.664500000000004)	(40, 38.9455)	(42, 38.9695)	(44, 38.867000000000004)	(46, 38.566)	(48, 38.294)	(50, 38.18)	(52, 37.834)	(54, 37.7795)	(56, 37.237)	(58, 37.1535)	(60, 36.9855)	(62, 36.8425)	(64, 36.584)	(66, 35.876999999999995)	(68, 35.4075)	(70, 35.153000000000006)	(72, 34.724000000000004)	(74, 34.477)	(76, 33.541)	(78, 33.825)	(80, 33.792)	(82, 33.480000000000004)	(84, 33.2915)	(86, 33.085499999999996)	(88, 32.879)	(90, 32.8155)	(92, 32.75)	(94, 32.539500000000004)	(96, 32.388999999999996)	(98, 32.075)	(100, 31.758)
SRR1552451	(1, 32.925)	(2, 33.134)	(3, 32.983)	(4, 36.134)	(5, 36.146)	(6, 36.289)	(7, 36.379)	(8, 36.328)	(9, 38.062)	(10, 38.2265)	(12, 38.104)	(14, 39.655)	(16, 39.7735)	(18, 39.659)	(20, 39.322)	(22, 39.533)	(24, 39.290499999999994)	(26, 39.2845)	(28, 39.1185)	(30, 38.9695)	(32, 38.8305)	(34, 38.824)	(36, 38.739000000000004)	(38, 38.4375)	(40, 38.7095)	(42, 38.612)	(44, 38.482)	(46, 38.1865)	(48, 37.907)	(50, 37.7945)	(52, 37.457499999999996)	(54, 37.369)	(56, 36.706)	(58, 36.6165)	(60, 36.6545)	(62, 36.492000000000004)	(64, 36.0405)	(66, 35.5175)	(68, 35.019000000000005)	(70, 34.774)	(72, 34.378)	(74, 34.2755)	(76, 33.161500000000004)	(78, 33.5195)	(80, 33.4025)	(82, 33.293)	(84, 33.2175)	(86, 33.0305)	(88, 32.8875)	(90, 32.79)	(92, 32.585)	(94, 32.3965)	(96, 32.260999999999996)	(98, 31.977)	(100, 31.753)
SRR1552452	(1, 33.036)	(2, 33.141)	(3, 32.947)	(4, 35.964)	(5, 36.166)	(6, 36.289)	(7, 36.297)	(8, 36.395)	(9, 37.971)	(10, 38.1155)	(12, 37.9345)	(14, 39.5275)	(16, 39.6115)	(18, 39.541)	(20, 39.262)	(22, 39.427)	(24, 39.313)	(26, 39.2335)	(28, 39.1065)	(30, 38.9065)	(32, 38.786500000000004)	(34, 38.7695)	(36, 38.579499999999996)	(38, 38.2125)	(40, 38.5895)	(42, 38.533)	(44, 38.441500000000005)	(46, 38.108000000000004)	(48, 37.9245)	(50, 37.661)	(52, 37.385)	(54, 37.309)	(56, 36.583)	(58, 36.5215)	(60, 36.444500000000005)	(62, 36.229)	(64, 35.823)	(66, 35.162499999999994)	(68, 34.891)	(70, 34.7005)	(72, 34.076499999999996)	(74, 33.688)	(76, 32.583)	(78, 33.042500000000004)	(80, 33.1095)	(82, 32.922)	(84, 32.885000000000005)	(86, 32.4275)	(88, 32.2825)	(90, 32.321)	(92, 32.062)	(94, 31.953500000000002)	(96, 31.697499999999998)	(98, 31.320500000000003)	(100, 31.117)
SRR1552453	(1, 33.126)	(2, 33.198)	(3, 33.163)	(4, 36.26)	(5, 36.202)	(6, 36.473)	(7, 36.49)	(8, 36.541)	(9, 38.185)	(10, 38.323)	(12, 38.253)	(14, 39.754000000000005)	(16, 39.831500000000005)	(18, 39.7215)	(20, 39.453500000000005)	(22, 39.681)	(24, 39.508)	(26, 39.481)	(28, 39.3155)	(30, 39.134)	(32, 39.0085)	(34, 38.9925)	(36, 38.8585)	(38, 38.501000000000005)	(40, 38.8185)	(42, 38.795500000000004)	(44, 38.703)	(46, 38.394999999999996)	(48, 38.019999999999996)	(50, 37.944500000000005)	(52, 37.5715)	(54, 37.515)	(56, 36.869)	(58, 36.7935)	(60, 36.7555)	(62, 36.628)	(64, 36.326499999999996)	(66, 35.827)	(68, 35.3135)	(70, 35.022499999999994)	(72, 34.6635)	(74, 34.372)	(76, 33.161500000000004)	(78, 33.58)	(80, 33.4975)	(82, 33.351)	(84, 33.166)	(86, 33.0255)	(88, 32.832499999999996)	(90, 32.541)	(92, 32.61)	(94, 32.478)	(96, 32.278000000000006)	(98, 32.181)	(100, 31.968)
SRR1552454	(1, 32.88)	(2, 33.072)	(3, 32.916)	(4, 36.108)	(5, 36.119)	(6, 36.377)	(7, 36.423)	(8, 36.323)	(9, 38.162)	(10, 38.235)	(12, 38.1325)	(14, 39.686)	(16, 39.8155)	(18, 39.7715)	(20, 39.4695)	(22, 39.525999999999996)	(24, 39.4015)	(26, 39.271)	(28, 39.216499999999996)	(30, 38.9005)	(32, 38.808)	(34, 38.876999999999995)	(36, 38.575500000000005)	(38, 38.3335)	(40, 38.7385)	(42, 38.7565)	(44, 38.573499999999996)	(46, 38.451)	(48, 38.0115)	(50, 37.91)	(52, 37.435)	(54, 37.376000000000005)	(56, 36.796)	(58, 36.667)	(60, 36.567)	(62, 36.510999999999996)	(64, 36.278000000000006)	(66, 35.459)	(68, 35.114999999999995)	(70, 34.675)	(72, 34.4045)	(74, 34.0305)	(76, 32.748999999999995)	(78, 33.278499999999994)	(80, 33.421499999999995)	(82, 33.2405)	(84, 33.1045)	(86, 32.922)	(88, 32.7355)	(90, 32.5165)	(92, 32.39149999999999)	(94, 32.25)	(96, 32.013)	(98, 31.700499999999998)	(100, 31.719)
SRR1552455	(1, 32.983)	(2, 33.127)	(3, 33.108)	(4, 35.963)	(5, 36.136)	(6, 36.299)	(7, 36.341)	(8, 36.401)	(9, 38.099)	(10, 38.2465)	(12, 38.18)	(14, 39.6395)	(16, 39.6135)	(18, 39.6545)	(20, 39.3785)	(22, 39.6185)	(24, 39.4255)	(26, 39.519499999999994)	(28, 39.322500000000005)	(30, 39.1345)	(32, 38.8715)	(34, 38.821)	(36, 38.6725)	(38, 38.513000000000005)	(40, 38.7805)	(42, 38.7545)	(44, 38.518)	(46, 38.327)	(48, 38.1105)	(50, 37.941)	(52, 37.5655)	(54, 37.446)	(56, 36.821)	(58, 36.6255)	(60, 36.498999999999995)	(62, 36.329)	(64, 36.0345)	(66, 35.497)	(68, 35.061)	(70, 34.644999999999996)	(72, 34.4675)	(74, 34.135999999999996)	(76, 32.908)	(78, 33.4925)	(80, 33.2625)	(82, 33.2885)	(84, 33.048)	(86, 32.8445)	(88, 32.566500000000005)	(90, 32.4105)	(92, 32.172)	(94, 32.0065)	(96, 31.9665)	(98, 31.6925)	(100, 31.507)
