Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR1552444	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.05)	(23.0, 0.05)	(24.0, 0.0)	(25.0, 0.05)	(26.0, 0.35000000000000003)	(27.0, 0.44999999999999996)	(28.0, 0.4)	(29.0, 0.65)	(30.0, 0.6)	(31.0, 0.5)	(32.0, 0.75)	(33.0, 0.95)	(34.0, 1.35)	(35.0, 1.5)	(36.0, 1.0999999999999999)	(37.0, 1.4500000000000002)	(38.0, 1.95)	(39.0, 1.8499999999999999)	(40.0, 1.9)	(41.0, 2.6)	(42.0, 2.7)	(43.0, 2.5)	(44.0, 3.35)	(45.0, 4.2)	(46.0, 3.6999999999999997)	(47.0, 3.65)	(48.0, 4.45)	(49.0, 4.25)	(50.0, 3.75)	(51.0, 3.8)	(52.0, 3.5999999999999996)	(53.0, 3.35)	(54.0, 3.3000000000000003)	(55.0, 3.4000000000000004)	(56.0, 3.8)	(57.0, 3.65)	(58.0, 3.25)	(59.0, 3.35)	(60.0, 3.05)	(61.0, 2.0500000000000003)	(62.0, 2.0500000000000003)	(63.0, 1.8499999999999999)	(64.0, 1.35)	(65.0, 1.35)	(66.0, 1.0999999999999999)	(67.0, 0.8)	(68.0, 0.6)	(69.0, 0.6)	(70.0, 0.5499999999999999)	(71.0, 0.4)	(72.0, 0.3)	(73.0, 0.1)	(74.0, 0.1)	(75.0, 0.2)	(76.0, 0.25)	(77.0, 0.15)	(78.0, 0.1)	(79.0, 0.15)	(80.0, 0.1)	(81.0, 0.1)	(82.0, 0.05)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.05)	(89.0, 0.05)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1552445	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.05)	(13.0, 0.05)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.15)	(21.0, 0.25)	(22.0, 0.1)	(23.0, 0.05)	(24.0, 0.1)	(25.0, 0.1)	(26.0, 0.15)	(27.0, 0.15)	(28.0, 0.15)	(29.0, 0.3)	(30.0, 0.6)	(31.0, 0.75)	(32.0, 0.65)	(33.0, 0.6)	(34.0, 1.0)	(35.0, 1.5)	(36.0, 1.7500000000000002)	(37.0, 1.7999999999999998)	(38.0, 1.4000000000000001)	(39.0, 1.7000000000000002)	(40.0, 2.3)	(41.0, 2.5)	(42.0, 2.55)	(43.0, 2.75)	(44.0, 2.7)	(45.0, 2.7)	(46.0, 3.15)	(47.0, 3.8)	(48.0, 4.05)	(49.0, 3.85)	(50.0, 4.1000000000000005)	(51.0, 4.2)	(52.0, 3.95)	(53.0, 3.65)	(54.0, 3.95)	(55.0, 3.9)	(56.0, 4.1000000000000005)	(57.0, 3.95)	(58.0, 3.25)	(59.0, 3.5000000000000004)	(60.0, 3.05)	(61.0, 2.15)	(62.0, 1.9)	(63.0, 1.6)	(64.0, 1.55)	(65.0, 1.35)	(66.0, 0.5499999999999999)	(67.0, 0.5499999999999999)	(68.0, 0.7000000000000001)	(69.0, 0.7000000000000001)	(70.0, 0.75)	(71.0, 0.5499999999999999)	(72.0, 0.4)	(73.0, 0.25)	(74.0, 0.25)	(75.0, 0.25)	(76.0, 0.1)	(77.0, 0.05)	(78.0, 0.15)	(79.0, 0.1)	(80.0, 0.05)	(81.0, 0.15)	(82.0, 0.2)	(83.0, 0.1)	(84.0, 0.0)	(85.0, 0.05)	(86.0, 0.05)	(87.0, 0.05)	(88.0, 0.05)	(89.0, 0.0)	(90.0, 0.05)	(91.0, 0.05)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1552446	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.05)	(20.0, 0.15)	(21.0, 0.1)	(22.0, 0.05)	(23.0, 0.1)	(24.0, 0.2)	(25.0, 0.25)	(26.0, 0.35000000000000003)	(27.0, 0.35000000000000003)	(28.0, 0.3)	(29.0, 0.5499999999999999)	(30.0, 0.7000000000000001)	(31.0, 0.75)	(32.0, 0.8500000000000001)	(33.0, 1.0)	(34.0, 1.3)	(35.0, 1.6500000000000001)	(36.0, 1.9)	(37.0, 1.9)	(38.0, 2.1)	(39.0, 2.4)	(40.0, 2.15)	(41.0, 2.15)	(42.0, 2.7)	(43.0, 2.8000000000000003)	(44.0, 2.45)	(45.0, 3.15)	(46.0, 4.45)	(47.0, 4.55)	(48.0, 4.2)	(49.0, 4.3999999999999995)	(50.0, 4.3999999999999995)	(51.0, 3.95)	(52.0, 4.2)	(53.0, 4.6)	(54.0, 3.85)	(55.0, 3.65)	(56.0, 3.45)	(57.0, 2.9499999999999997)	(58.0, 3.05)	(59.0, 2.8000000000000003)	(60.0, 2.25)	(61.0, 1.55)	(62.0, 1.2)	(63.0, 0.95)	(64.0, 1.0)	(65.0, 1.15)	(66.0, 0.7000000000000001)	(67.0, 0.35000000000000003)	(68.0, 0.35000000000000003)	(69.0, 0.5)	(70.0, 0.44999999999999996)	(71.0, 0.35000000000000003)	(72.0, 0.3)	(73.0, 0.3)	(74.0, 0.25)	(75.0, 0.05)	(76.0, 0.05)	(77.0, 0.2)	(78.0, 0.15)	(79.0, 0.15)	(80.0, 0.25)	(81.0, 0.15)	(82.0, 0.1)	(83.0, 0.1)	(84.0, 0.1)	(85.0, 0.05)	(86.0, 0.05)	(87.0, 0.05)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1552447	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.05)	(21.0, 0.05)	(22.0, 0.1)	(23.0, 0.2)	(24.0, 0.3)	(25.0, 0.25)	(26.0, 0.15)	(27.0, 0.15)	(28.0, 0.35000000000000003)	(29.0, 0.65)	(30.0, 0.7000000000000001)	(31.0, 0.7000000000000001)	(32.0, 1.05)	(33.0, 1.3)	(34.0, 1.05)	(35.0, 1.05)	(36.0, 2.1)	(37.0, 2.25)	(38.0, 1.95)	(39.0, 2.65)	(40.0, 2.65)	(41.0, 2.45)	(42.0, 2.6)	(43.0, 3.0)	(44.0, 3.75)	(45.0, 3.95)	(46.0, 3.5999999999999996)	(47.0, 3.9)	(48.0, 3.95)	(49.0, 3.6999999999999997)	(50.0, 3.95)	(51.0, 4.5)	(52.0, 4.75)	(53.0, 4.75)	(54.0, 3.95)	(55.0, 3.0)	(56.0, 3.05)	(57.0, 2.85)	(58.0, 2.75)	(59.0, 2.6)	(60.0, 2.15)	(61.0, 1.95)	(62.0, 1.9)	(63.0, 1.6)	(64.0, 0.8500000000000001)	(65.0, 0.5)	(66.0, 0.65)	(67.0, 0.75)	(68.0, 0.65)	(69.0, 0.4)	(70.0, 0.35000000000000003)	(71.0, 0.3)	(72.0, 0.2)	(73.0, 0.25)	(74.0, 0.25)	(75.0, 0.15)	(76.0, 0.05)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.05)	(80.0, 0.05)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.1)	(91.0, 0.1)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1552448	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.05)	(21.0, 0.05)	(22.0, 0.05)	(23.0, 0.25)	(24.0, 0.25)	(25.0, 0.25)	(26.0, 0.5499999999999999)	(27.0, 0.5)	(28.0, 0.4)	(29.0, 0.5)	(30.0, 0.5499999999999999)	(31.0, 0.44999999999999996)	(32.0, 0.5)	(33.0, 0.7000000000000001)	(34.0, 0.65)	(35.0, 1.0999999999999999)	(36.0, 1.7500000000000002)	(37.0, 1.6500000000000001)	(38.0, 1.9)	(39.0, 2.5)	(40.0, 2.45)	(41.0, 2.1999999999999997)	(42.0, 2.4)	(43.0, 3.3000000000000003)	(44.0, 3.15)	(45.0, 3.4000000000000004)	(46.0, 4.2)	(47.0, 4.2)	(48.0, 4.05)	(49.0, 4.15)	(50.0, 4.3999999999999995)	(51.0, 4.45)	(52.0, 4.95)	(53.0, 5.1499999999999995)	(54.0, 4.8500000000000005)	(55.0, 4.6)	(56.0, 4.75)	(57.0, 4.1000000000000005)	(58.0, 2.65)	(59.0, 1.8499999999999999)	(60.0, 1.95)	(61.0, 1.7999999999999998)	(62.0, 1.0999999999999999)	(63.0, 0.8)	(64.0, 0.75)	(65.0, 0.6)	(66.0, 0.5499999999999999)	(67.0, 0.3)	(68.0, 0.1)	(69.0, 0.2)	(70.0, 0.1)	(71.0, 0.15)	(72.0, 0.25)	(73.0, 0.15)	(74.0, 0.15)	(75.0, 0.1)	(76.0, 0.2)	(77.0, 0.2)	(78.0, 0.05)	(79.0, 0.1)	(80.0, 0.15)	(81.0, 0.1)	(82.0, 0.0)	(83.0, 0.05)	(84.0, 0.1)	(85.0, 0.1)	(86.0, 0.05)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1552449	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.05)	(19.0, 0.05)	(20.0, 0.05)	(21.0, 0.05)	(22.0, 0.0)	(23.0, 0.1)	(24.0, 0.1)	(25.0, 0.15)	(26.0, 0.25)	(27.0, 0.44999999999999996)	(28.0, 0.65)	(29.0, 0.7000000000000001)	(30.0, 0.65)	(31.0, 0.4)	(32.0, 0.4)	(33.0, 0.7000000000000001)	(34.0, 0.8500000000000001)	(35.0, 1.3)	(36.0, 1.7999999999999998)	(37.0, 1.8499999999999999)	(38.0, 1.95)	(39.0, 2.3)	(40.0, 3.05)	(41.0, 3.05)	(42.0, 2.9499999999999997)	(43.0, 3.3000000000000003)	(44.0, 3.55)	(45.0, 3.35)	(46.0, 3.8)	(47.0, 4.45)	(48.0, 3.85)	(49.0, 4.15)	(50.0, 4.9)	(51.0, 5.4)	(52.0, 4.8500000000000005)	(53.0, 3.95)	(54.0, 4.3999999999999995)	(55.0, 4.65)	(56.0, 4.2)	(57.0, 3.4000000000000004)	(58.0, 2.75)	(59.0, 2.3)	(60.0, 1.6)	(61.0, 1.3)	(62.0, 1.4000000000000001)	(63.0, 1.3)	(64.0, 0.8500000000000001)	(65.0, 0.4)	(66.0, 0.2)	(67.0, 0.05)	(68.0, 0.2)	(69.0, 0.3)	(70.0, 0.3)	(71.0, 0.2)	(72.0, 0.05)	(73.0, 0.1)	(74.0, 0.15)	(75.0, 0.1)	(76.0, 0.1)	(77.0, 0.1)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.05)	(82.0, 0.05)	(83.0, 0.0)	(84.0, 0.05)	(85.0, 0.05)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1552450	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.05)	(23.0, 0.1)	(24.0, 0.1)	(25.0, 0.15)	(26.0, 0.15)	(27.0, 0.1)	(28.0, 0.4)	(29.0, 0.5499999999999999)	(30.0, 0.5499999999999999)	(31.0, 0.5)	(32.0, 0.4)	(33.0, 0.7000000000000001)	(34.0, 1.3)	(35.0, 1.9)	(36.0, 1.7999999999999998)	(37.0, 1.6)	(38.0, 2.0)	(39.0, 2.0)	(40.0, 1.8499999999999999)	(41.0, 2.15)	(42.0, 2.4)	(43.0, 3.0)	(44.0, 3.25)	(45.0, 2.9000000000000004)	(46.0, 3.05)	(47.0, 3.3000000000000003)	(48.0, 3.3000000000000003)	(49.0, 3.9)	(50.0, 4.2)	(51.0, 3.75)	(52.0, 4.15)	(53.0, 4.3999999999999995)	(54.0, 3.8)	(55.0, 3.3000000000000003)	(56.0, 3.75)	(57.0, 4.75)	(58.0, 3.9)	(59.0, 2.8000000000000003)	(60.0, 2.9000000000000004)	(61.0, 2.9000000000000004)	(62.0, 2.4)	(63.0, 1.95)	(64.0, 1.6)	(65.0, 0.95)	(66.0, 0.8500000000000001)	(67.0, 0.8)	(68.0, 0.44999999999999996)	(69.0, 0.35000000000000003)	(70.0, 0.35000000000000003)	(71.0, 0.35000000000000003)	(72.0, 0.35000000000000003)	(73.0, 0.25)	(74.0, 0.1)	(75.0, 0.05)	(76.0, 0.15)	(77.0, 0.2)	(78.0, 0.25)	(79.0, 0.25)	(80.0, 0.15)	(81.0, 0.05)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.05)	(87.0, 0.05)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1552451	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.05)	(18.0, 0.05)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.1)	(24.0, 0.15)	(25.0, 0.2)	(26.0, 0.25)	(27.0, 0.2)	(28.0, 0.25)	(29.0, 0.3)	(30.0, 0.5499999999999999)	(31.0, 0.7000000000000001)	(32.0, 0.5499999999999999)	(33.0, 0.8999999999999999)	(34.0, 1.35)	(35.0, 1.7000000000000002)	(36.0, 1.95)	(37.0, 1.6500000000000001)	(38.0, 2.15)	(39.0, 2.5)	(40.0, 2.25)	(41.0, 2.25)	(42.0, 2.7)	(43.0, 2.75)	(44.0, 2.15)	(45.0, 2.45)	(46.0, 3.5999999999999996)	(47.0, 3.75)	(48.0, 4.1000000000000005)	(49.0, 4.2)	(50.0, 3.45)	(51.0, 3.9)	(52.0, 4.3)	(53.0, 4.25)	(54.0, 3.65)	(55.0, 2.9499999999999997)	(56.0, 3.3000000000000003)	(57.0, 3.5000000000000004)	(58.0, 3.5000000000000004)	(59.0, 3.4000000000000004)	(60.0, 2.9499999999999997)	(61.0, 2.6)	(62.0, 2.1)	(63.0, 1.95)	(64.0, 1.7500000000000002)	(65.0, 1.4000000000000001)	(66.0, 0.95)	(67.0, 0.8500000000000001)	(68.0, 0.6)	(69.0, 0.4)	(70.0, 0.4)	(71.0, 0.25)	(72.0, 0.4)	(73.0, 0.35000000000000003)	(74.0, 0.1)	(75.0, 0.15)	(76.0, 0.35000000000000003)	(77.0, 0.25)	(78.0, 0.05)	(79.0, 0.0)	(80.0, 0.05)	(81.0, 0.05)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.05)	(86.0, 0.05)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1552452	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.05)	(8.0, 0.05)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.05)	(23.0, 0.15)	(24.0, 0.15)	(25.0, 0.2)	(26.0, 0.35000000000000003)	(27.0, 0.35000000000000003)	(28.0, 0.25)	(29.0, 0.3)	(30.0, 0.35000000000000003)	(31.0, 0.65)	(32.0, 0.95)	(33.0, 1.0999999999999999)	(34.0, 1.25)	(35.0, 1.0999999999999999)	(36.0, 1.3)	(37.0, 1.35)	(38.0, 1.2)	(39.0, 1.5)	(40.0, 1.8499999999999999)	(41.0, 2.0)	(42.0, 2.55)	(43.0, 2.8000000000000003)	(44.0, 2.55)	(45.0, 3.05)	(46.0, 2.9000000000000004)	(47.0, 2.8000000000000003)	(48.0, 3.3000000000000003)	(49.0, 3.65)	(50.0, 4.6)	(51.0, 4.35)	(52.0, 3.55)	(53.0, 4.25)	(54.0, 4.7)	(55.0, 4.25)	(56.0, 4.15)	(57.0, 4.05)	(58.0, 4.25)	(59.0, 4.0)	(60.0, 2.9000000000000004)	(61.0, 2.45)	(62.0, 2.35)	(63.0, 1.55)	(64.0, 1.25)	(65.0, 1.35)	(66.0, 1.0)	(67.0, 0.6)	(68.0, 0.35000000000000003)	(69.0, 0.65)	(70.0, 0.65)	(71.0, 0.44999999999999996)	(72.0, 0.44999999999999996)	(73.0, 0.3)	(74.0, 0.1)	(75.0, 0.15)	(76.0, 0.15)	(77.0, 0.1)	(78.0, 0.1)	(79.0, 0.1)	(80.0, 0.1)	(81.0, 0.15)	(82.0, 0.15)	(83.0, 0.05)	(84.0, 0.0)	(85.0, 0.1)	(86.0, 0.15)	(87.0, 0.05)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1552453	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.05)	(15.0, 0.05)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.05)	(24.0, 0.05)	(25.0, 0.05)	(26.0, 0.2)	(27.0, 0.5)	(28.0, 0.8)	(29.0, 0.7000000000000001)	(30.0, 0.44999999999999996)	(31.0, 0.4)	(32.0, 0.6)	(33.0, 0.8999999999999999)	(34.0, 1.05)	(35.0, 1.2)	(36.0, 1.05)	(37.0, 1.15)	(38.0, 1.8499999999999999)	(39.0, 1.7000000000000002)	(40.0, 2.15)	(41.0, 2.75)	(42.0, 2.35)	(43.0, 2.7)	(44.0, 3.25)	(45.0, 3.0)	(46.0, 2.65)	(47.0, 2.9000000000000004)	(48.0, 3.05)	(49.0, 3.8)	(50.0, 3.95)	(51.0, 3.6999999999999997)	(52.0, 4.6)	(53.0, 4.7)	(54.0, 4.25)	(55.0, 4.3)	(56.0, 4.65)	(57.0, 3.95)	(58.0, 2.8000000000000003)	(59.0, 3.1)	(60.0, 2.9000000000000004)	(61.0, 2.5)	(62.0, 2.7)	(63.0, 1.95)	(64.0, 1.4000000000000001)	(65.0, 1.4000000000000001)	(66.0, 1.0999999999999999)	(67.0, 1.2)	(68.0, 1.25)	(69.0, 0.8)	(70.0, 0.4)	(71.0, 0.2)	(72.0, 0.1)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.05)	(76.0, 0.1)	(77.0, 0.05)	(78.0, 0.0)	(79.0, 0.1)	(80.0, 0.1)	(81.0, 0.1)	(82.0, 0.1)	(83.0, 0.05)	(84.0, 0.05)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
