Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
SRR1552444	(11.0, 1.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 3.0)	(16.0, 2.0)	(17.0, 2.0)	(18.0, 1.0)	(19.0, 5.0)	(20.0, 3.0)	(21.0, 4.0)	(22.0, 2.0)	(23.0, 5.0)	(24.0, 2.0)	(25.0, 2.0)	(26.0, 3.0)	(27.0, 5.0)	(28.0, 5.0)	(29.0, 8.0)	(30.0, 6.0)	(31.0, 15.0)	(32.0, 22.0)	(33.0, 42.0)	(34.0, 71.0)	(35.0, 71.0)	(36.0, 105.0)	(37.0, 266.0)	(38.0, 276.0)	(39.0, 72.0)						
SRR1552445	(8.0, 1.0)	(9.0, 1.0)	(10.0, 1.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 3.0)	(19.0, 2.0)	(20.0, 2.0)	(21.0, 5.0)	(22.0, 3.0)	(23.0, 4.0)	(24.0, 6.0)	(25.0, 6.0)	(26.0, 7.0)	(27.0, 5.0)	(28.0, 4.0)	(29.0, 10.0)	(30.0, 14.0)	(31.0, 17.0)	(32.0, 29.0)	(33.0, 40.0)	(34.0, 55.0)	(35.0, 62.0)	(36.0, 152.0)	(37.0, 208.0)	(38.0, 287.0)	(39.0, 72.0)	(40.0, 1.0)		
SRR1552446	(8.0, 1.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 3.0)	(13.0, 4.0)	(14.0, 4.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 3.0)	(18.0, 1.0)	(19.0, 3.0)	(20.0, 5.0)	(21.0, 4.0)	(22.0, 3.0)	(23.0, 5.0)	(24.0, 4.0)	(25.0, 7.0)	(26.0, 2.0)	(27.0, 4.0)	(28.0, 7.0)	(29.0, 9.0)	(30.0, 11.0)	(31.0, 13.0)	(32.0, 37.0)	(33.0, 41.0)	(34.0, 49.0)	(35.0, 61.0)	(36.0, 125.0)	(37.0, 193.0)	(38.0, 304.0)	(39.0, 96.0)			
SRR1552447	(5.0, 1.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 1.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 2.0)	(19.0, 0.0)	(20.0, 2.0)	(21.0, 3.0)	(22.0, 0.0)	(23.0, 3.0)	(24.0, 2.0)	(25.0, 3.0)	(26.0, 5.0)	(27.0, 4.0)	(28.0, 6.0)	(29.0, 17.0)	(30.0, 12.0)	(31.0, 18.0)	(32.0, 27.0)	(33.0, 35.0)	(34.0, 57.0)	(35.0, 69.0)	(36.0, 134.0)	(37.0, 204.0)	(38.0, 306.0)	(39.0, 85.0)
SRR1552448	(11.0, 1.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 2.0)	(18.0, 1.0)	(19.0, 3.0)	(20.0, 3.0)	(21.0, 7.0)	(22.0, 4.0)	(23.0, 1.0)	(24.0, 0.0)	(25.0, 3.0)	(26.0, 2.0)	(27.0, 11.0)	(28.0, 12.0)	(29.0, 13.0)	(30.0, 16.0)	(31.0, 12.0)	(32.0, 18.0)	(33.0, 33.0)	(34.0, 67.0)	(35.0, 69.0)	(36.0, 101.0)	(37.0, 212.0)	(38.0, 338.0)	(39.0, 68.0)						
SRR1552449	(9.0, 2.0)	(10.0, 2.0)	(11.0, 0.0)	(12.0, 2.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 3.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 2.0)	(20.0, 1.0)	(21.0, 3.0)	(22.0, 2.0)	(23.0, 1.0)	(24.0, 4.0)	(25.0, 4.0)	(26.0, 6.0)	(27.0, 4.0)	(28.0, 8.0)	(29.0, 8.0)	(30.0, 18.0)	(31.0, 16.0)	(32.0, 18.0)	(33.0, 37.0)	(34.0, 48.0)	(35.0, 89.0)	(36.0, 111.0)	(37.0, 210.0)	(38.0, 294.0)	(39.0, 105.0)				
SRR1552450	(11.0, 1.0)	(12.0, 1.0)	(13.0, 1.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 1.0)	(19.0, 3.0)	(20.0, 2.0)	(21.0, 1.0)	(22.0, 1.0)	(23.0, 1.0)	(24.0, 4.0)	(25.0, 5.0)	(26.0, 2.0)	(27.0, 9.0)	(28.0, 7.0)	(29.0, 10.0)	(30.0, 8.0)	(31.0, 15.0)	(32.0, 18.0)	(33.0, 31.0)	(34.0, 52.0)	(35.0, 61.0)	(36.0, 115.0)	(37.0, 231.0)	(38.0, 335.0)	(39.0, 80.0)	(40.0, 1.0)					
SRR1552451	(8.0, 1.0)	(9.0, 1.0)	(10.0, 1.0)	(11.0, 1.0)	(12.0, 1.0)	(13.0, 2.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 2.0)	(18.0, 2.0)	(19.0, 2.0)	(20.0, 2.0)	(21.0, 3.0)	(22.0, 4.0)	(23.0, 2.0)	(24.0, 2.0)	(25.0, 4.0)	(26.0, 5.0)	(27.0, 3.0)	(28.0, 6.0)	(29.0, 10.0)	(30.0, 13.0)	(31.0, 18.0)	(32.0, 21.0)	(33.0, 26.0)	(34.0, 49.0)	(35.0, 60.0)	(36.0, 138.0)	(37.0, 255.0)	(38.0, 279.0)	(39.0, 85.0)			
SRR1552452	(12.0, 3.0)	(13.0, 3.0)	(14.0, 2.0)	(15.0, 3.0)	(16.0, 3.0)	(17.0, 4.0)	(18.0, 5.0)	(19.0, 2.0)	(20.0, 1.0)	(21.0, 3.0)	(22.0, 2.0)	(23.0, 3.0)	(24.0, 5.0)	(25.0, 4.0)	(26.0, 5.0)	(27.0, 5.0)	(28.0, 9.0)	(29.0, 5.0)	(30.0, 12.0)	(31.0, 20.0)	(32.0, 30.0)	(33.0, 25.0)	(34.0, 37.0)	(35.0, 66.0)	(36.0, 119.0)	(37.0, 256.0)	(38.0, 297.0)	(39.0, 71.0)							
SRR1552453	(8.0, 1.0)	(9.0, 1.0)	(10.0, 2.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 1.0)	(14.0, 2.0)	(15.0, 2.0)	(16.0, 3.0)	(17.0, 3.0)	(18.0, 1.0)	(19.0, 3.0)	(20.0, 3.0)	(21.0, 2.0)	(22.0, 3.0)	(23.0, 0.0)	(24.0, 1.0)	(25.0, 2.0)	(26.0, 3.0)	(27.0, 1.0)	(28.0, 6.0)	(29.0, 7.0)	(30.0, 15.0)	(31.0, 19.0)	(32.0, 21.0)	(33.0, 21.0)	(34.0, 44.0)	(35.0, 59.0)	(36.0, 112.0)	(37.0, 261.0)	(38.0, 329.0)	(39.0, 72.0)			
SRR1552454	(9.0, 1.0)	(10.0, 0.0)	(11.0, 2.0)	(12.0, 2.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 3.0)	(20.0, 1.0)	(21.0, 3.0)	(22.0, 3.0)	(23.0, 2.0)	(24.0, 5.0)	(25.0, 3.0)	(26.0, 4.0)	(27.0, 9.0)	(28.0, 7.0)	(29.0, 6.0)	(30.0, 14.0)	(31.0, 17.0)	(32.0, 30.0)	(33.0, 19.0)	(34.0, 43.0)	(35.0, 77.0)	(36.0, 132.0)	(37.0, 261.0)	(38.0, 290.0)	(39.0, 61.0)				
