Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR1552444	(1, 33.1021021021021)	(2, 33.24424424424424)	(3, 33.269269269269266)	(4, 36.605605605605604)	(5, 36.370370370370374)	(6, 36.513513513513516)	(7, 36.46046046046046)	(8, 36.41641641641642)	(9, 38.330330330330334)	(10, 38.33733733733733)	(12, 38.23573573573574)	(14, 39.7962962962963)	(16, 39.812812812812815)	(18, 39.828828828828826)	(20, 39.76926926926927)	(22, 39.653653653653656)	(24, 39.5990990990991)	(26, 39.18818818818819)	(28, 39.34134134134134)	(30, 39.41583166332666)	(32, 39.2439879759519)	(34, 39.107214428857716)	(36, 39.01102204408818)	(38, 38.997492477432296)	(40, 39.28463855421687)	(42, 38.971385542168676)	(44, 39.00201005025126)	(46, 38.92438452342357)	(48, 38.51160443995964)	(50, 38.377272727272725)	(52, 38.22828282828283)	(54, 37.940824320045756)	(56, 37.777170067497025)	(58, 37.54895594155744)	(60, 37.38414634146342)	(62, 37.312627291242364)	(64, 37.173262604430775)	(66, 36.72551020408163)	(68, 36.35664235238579)	(70, 35.92672294579101)	(72, 33.28607193364675)	(74, 33.34932920536636)	(76, 32.09969542420539)	(78, 32.99326424870466)	(80, 32.84670790961667)	(82, 32.898234683281416)	(84, 33.68880776220145)	(86, 33.88164754953076)	(88, 33.78471645949983)	(90, 33.846270898296424)	(92, 33.67827004219409)	(94, 33.681013342949875)	(96, 33.73726866430607)	(98, 33.83053107033601)	(100, 33.816027088036115)
SRR1552445	(1, 33.051)	(2, 33.142)	(3, 33.231)	(4, 36.548)	(5, 36.283)	(6, 36.49)	(7, 36.401)	(8, 36.371)	(9, 38.265)	(10, 38.206500000000005)	(12, 38.185500000000005)	(14, 39.763999999999996)	(16, 39.699)	(18, 39.7275)	(20, 39.495000000000005)	(22, 39.472)	(24, 39.47772272272272)	(26, 39.21533708056754)	(28, 39.276328986960884)	(30, 39.19015127712455)	(32, 39.09487951807229)	(34, 38.936180904522615)	(36, 38.80552763819095)	(38, 38.80347208881429)	(40, 38.982897384305836)	(42, 38.79527162977867)	(44, 38.6317907444668)	(46, 38.593058350100605)	(48, 38.3566398390342)	(50, 38.22032193158954)	(52, 37.984406438631794)	(54, 37.69014084507042)	(56, 37.58811681772407)	(58, 37.428931451612904)	(60, 37.02368951612903)	(62, 36.988901118127664)	(64, 36.71934735855018)	(66, 36.3999493414387)	(68, 36.05278258310052)	(70, 35.680048871235144)	(72, 33.251335338639336)	(74, 33.318322981366464)	(76, 32.0503112033195)	(78, 32.98080912863071)	(80, 32.957722021862864)	(82, 32.95426195426195)	(84, 33.54318418314256)	(86, 33.6296875)	(88, 33.70802919708029)	(90, 33.59068773953096)	(92, 33.5203260264827)	(94, 33.59394802352588)	(96, 33.68629887809904)	(98, 33.65503734856569)	(100, 33.86038592508513)
SRR1552446	(1, 33.009)	(2, 33.151)	(3, 33.234)	(4, 36.56)	(5, 36.298)	(6, 36.333)	(7, 36.36)	(8, 36.381)	(9, 38.122)	(10, 38.187)	(12, 38.102000000000004)	(14, 39.7695)	(16, 39.719)	(18, 39.66)	(20, 39.664500000000004)	(22, 39.524)	(24, 39.5045)	(26, 39.170500000000004)	(28, 39.260999999999996)	(30, 39.289083968622585)	(32, 39.26980942828486)	(34, 39.04366460818147)	(36, 38.89944036075751)	(38, 39.05705173347641)	(40, 39.07265388496468)	(42, 38.94343434343435)	(44, 38.85)	(46, 38.69147313399742)	(48, 38.56775105281041)	(50, 38.31775084981267)	(52, 38.158697863682605)	(54, 37.968379350220374)	(56, 37.95605886889996)	(58, 37.80244372087566)	(60, 37.490266393442624)	(62, 37.459445585215605)	(64, 37.2027145294074)	(66, 36.95408860234273)	(68, 36.63990371634421)	(70, 36.260441540887584)	(72, 33.38189386056192)	(74, 33.34515045091918)	(76, 31.88946819603754)	(78, 33.01200417536535)	(80, 32.867293625914314)	(82, 32.86094451786255)	(84, 33.653591020180464)	(86, 33.88805965156421)	(88, 33.93488756613756)	(90, 33.86482735974666)	(92, 33.80903865803331)	(94, 33.655561038305294)	(96, 33.62377331044715)	(98, 33.62231998886421)	(100, 33.8828125)
SRR1552447	(1, 32.95795795795796)	(2, 33.13513513513514)	(3, 33.191191191191194)	(4, 36.51651651651652)	(5, 36.24224224224224)	(6, 36.34534534534534)	(7, 36.34034034034034)	(8, 36.34234234234234)	(9, 38.18018018018018)	(10, 38.24024024024024)	(12, 38.19469469469469)	(14, 39.7002002002002)	(16, 39.71921921921922)	(18, 39.649649649649646)	(20, 39.62862862862863)	(22, 39.52002002002002)	(24, 39.442384769539075)	(26, 39.21743486973948)	(28, 39.29208416833667)	(30, 39.2059118236473)	(32, 39.09679037111334)	(34, 39.14493480441324)	(36, 38.87863590772317)	(38, 38.97442326980943)	(40, 39.07923771313942)	(42, 38.96384283372205)	(44, 38.90411646586345)	(46, 38.70271629778672)	(48, 38.47032193158954)	(50, 38.231064635547426)	(52, 38.245216515609265)	(54, 37.914400805639474)	(56, 37.86982845610494)	(58, 37.66851664984864)	(60, 37.58080808080808)	(62, 37.384343434343435)	(64, 37.14191919191919)	(66, 36.87003741872163)	(68, 36.497975708502025)	(70, 36.059309006291116)	(72, 33.60336464101015)	(74, 33.573033707865164)	(76, 32.21560907900261)	(78, 33.149795501022496)	(80, 32.95547594677584)	(82, 32.87102486282866)	(84, 33.60410256410256)	(86, 33.84461538461538)	(88, 33.77053460953468)	(90, 33.644773931491805)	(92, 33.485468116229356)	(94, 33.53331579265189)	(96, 33.71343866336781)	(98, 33.51168946776612)	(100, 33.7942794279428)
SRR1552448	(1, 32.956)	(2, 33.084)	(3, 33.15)	(4, 36.476)	(5, 36.173)	(6, 36.382)	(7, 36.308)	(8, 36.341)	(9, 38.165)	(10, 38.103)	(12, 38.187)	(14, 39.736000000000004)	(16, 39.608000000000004)	(18, 39.685)	(20, 39.676)	(22, 39.5215)	(24, 39.439)	(26, 39.192499999999995)	(28, 39.262)	(30, 39.238)	(32, 39.134)	(34, 38.934)	(36, 38.805)	(38, 38.937)	(40, 38.99748798798799)	(42, 38.91541541541542)	(44, 38.9029029029029)	(46, 38.758059662869286)	(48, 38.40512048192771)	(50, 38.38353413654619)	(52, 38.17319277108434)	(54, 37.856281407035176)	(56, 37.85109636804364)	(58, 37.814199395770395)	(60, 37.7564552748934)	(62, 37.61049445005045)	(64, 37.25540906017579)	(66, 36.95634517766497)	(68, 36.672909111983174)	(70, 36.22889804239739)	(72, 33.06195088699633)	(74, 33.17375623310875)	(76, 31.796296296296298)	(78, 32.67335390946502)	(80, 32.631443298969074)	(82, 32.710824742268045)	(84, 33.53989763324913)	(86, 33.70742040563074)	(88, 33.89802289281998)	(90, 33.747578696447235)	(92, 33.641762772054435)	(94, 33.81947134549874)	(96, 33.775717264802005)	(98, 33.78861947231512)	(100, 33.972758229284906)
SRR1552449	(1, 32.876)	(2, 33.051)	(3, 33.116)	(4, 36.461)	(5, 36.291)	(6, 36.337)	(7, 36.321)	(8, 36.323)	(9, 38.252)	(10, 38.1185)	(12, 38.1545)	(14, 39.599500000000006)	(16, 39.638000000000005)	(18, 39.611000000000004)	(20, 39.5755)	(22, 39.45495495495496)	(24, 39.41041041041041)	(26, 39.188688688688686)	(28, 39.258016032064134)	(30, 39.17369477911646)	(32, 39.08084095174669)	(34, 38.951256281407034)	(36, 38.85419906372911)	(38, 38.922032193158955)	(40, 39.12072434607646)	(42, 38.83702213279678)	(44, 38.8923044814709)	(46, 38.705432053806845)	(48, 38.638888888888886)	(50, 38.5)	(52, 38.199236643565044)	(54, 38.02125198429789)	(56, 37.88449848024317)	(58, 37.79381965552179)	(60, 37.5684584178499)	(62, 37.64756592292089)	(64, 37.356325961839744)	(66, 36.908443540183114)	(68, 36.6968463886063)	(70, 36.22257471216592)	(72, 33.35020867242602)	(74, 33.20266120777892)	(76, 31.95138178096213)	(78, 33.04452405322416)	(80, 32.85983617044482)	(82, 33.02612704918033)	(84, 33.77053388090349)	(86, 33.88027779924067)	(88, 33.92830742714883)	(90, 33.71030122403712)	(92, 33.67900988284009)	(94, 33.7420797187297)	(96, 33.75645865151404)	(98, 33.75367744198)	(100, 33.97566371681416)
SRR1552450	(1, 32.962)	(2, 33.103)	(3, 33.01)	(4, 36.068)	(5, 36.116)	(6, 36.285)	(7, 36.468)	(8, 36.424)	(9, 38.089)	(10, 38.2475)	(12, 38.182)	(14, 39.864000000000004)	(16, 39.8365)	(18, 39.858000000000004)	(20, 39.4275)	(22, 39.662000000000006)	(24, 39.518)	(26, 39.476)	(28, 39.3365)	(30, 39.1905)	(32, 39.039)	(34, 39.11450000000001)	(36, 38.944)	(38, 38.71258131879374)	(40, 39.0125250501002)	(42, 39.04357712415805)	(44, 38.9679037111334)	(46, 38.70009333817683)	(48, 38.49798792756539)	(50, 38.385311871227366)	(52, 38.115423387096776)	(54, 38.05292338709677)	(56, 37.508088929396834)	(58, 37.46666666666667)	(60, 37.341759352881695)	(62, 37.22784200681737)	(64, 37.02431610942249)	(66, 36.392650563168914)	(68, 35.9852492370295)	(70, 35.726347914547304)	(72, 35.323828920570264)	(74, 35.07230142566192)	(76, 34.15188583078491)	(78, 34.460204081632654)	(80, 34.44919482604074)	(82, 34.20890837626055)	(84, 34.1027195257581)	(86, 33.88120561751657)	(88, 33.768280123583935)	(90, 33.766692279780585)	(92, 33.8576098632178)	(94, 33.71943573667711)	(96, 33.72895429809947)	(98, 33.800522269141425)	(100, 33.80044345898004)
SRR1552451	(1, 32.925)	(2, 33.134)	(3, 32.983)	(4, 36.134)	(5, 36.146)	(6, 36.289)	(7, 36.379)	(8, 36.328)	(9, 38.062)	(10, 38.2265)	(12, 38.104)	(14, 39.655)	(16, 39.7735)	(18, 39.659)	(20, 39.322)	(22, 39.533)	(24, 39.290499999999994)	(26, 39.32182182182183)	(28, 39.17425090421082)	(30, 39.0435871743487)	(32, 38.90430861723446)	(34, 38.93480441323972)	(36, 38.849548645937816)	(38, 38.565464969204804)	(40, 38.87545912292386)	(42, 38.79597989949749)	(44, 38.66462948545545)	(46, 38.40221875608489)	(48, 38.25124810160128)	(50, 38.156060606060606)	(52, 37.81565656565657)	(54, 37.76238624873609)	(56, 37.143023782861405)	(58, 37.063323201621074)	(60, 37.09726443768997)	(62, 36.99235438267728)	(64, 36.535532994923855)	(66, 36.03879504882495)	(68, 35.629462330096686)	(70, 35.40839262310429)	(72, 35.0879179243123)	(74, 35.02296571136131)	(76, 33.93860159005949)	(78, 34.32925698162502)	(80, 34.20400822199383)	(82, 34.11823398424118)	(84, 34.0525242883204)	(86, 33.876288659793815)	(88, 33.80882966586732)	(90, 33.74575204937899)	(92, 33.632520278301456)	(94, 33.54892659203925)	(96, 33.562695141750964)	(98, 33.62125063120687)	(100, 33.72160356347439)
SRR1552452	(1, 33.036)	(2, 33.141)	(3, 32.947)	(4, 35.964)	(5, 36.166)	(6, 36.289)	(7, 36.297)	(8, 36.395)	(9, 37.971)	(10, 38.1155)	(12, 37.9345)	(14, 39.5275)	(16, 39.6115)	(18, 39.541)	(20, 39.262)	(22, 39.427)	(24, 39.313)	(26, 39.25875875875876)	(28, 39.12862862862863)	(30, 38.94483912770486)	(32, 38.84218436873748)	(34, 38.86162897510166)	(36, 38.744834614841274)	(38, 38.39447236180905)	(40, 38.79188346157346)	(42, 38.75352112676056)	(44, 38.71685518386772)	(46, 38.435923309788095)	(48, 38.28737373737374)	(50, 38.07586129611967)	(52, 37.832804699965955)	(54, 37.792172481611864)	(56, 37.127242478643055)	(58, 37.08282520325203)	(60, 37.03750331164208)	(62, 36.93054188989181)	(64, 36.5838445807771)	(66, 35.99525641025641)	(68, 35.76899383983573)	(70, 35.607785974429824)	(72, 35.06856580780722)	(74, 34.78619334519473)	(76, 33.65942028985507)	(78, 34.16839378238342)	(80, 34.288033268270404)	(82, 34.160147520449286)	(84, 34.20556327158814)	(86, 33.77674359377937)	(88, 33.71265792015065)	(90, 33.800684710132735)	(92, 33.70515480674379)	(94, 33.74904119293991)	(96, 33.79784242680081)	(98, 33.66889715240217)	(100, 33.77123442808607)
SRR1552453	(1, 33.126)	(2, 33.198)	(3, 33.163)	(4, 36.26)	(5, 36.202)	(6, 36.473)	(7, 36.49)	(8, 36.541)	(9, 38.185)	(10, 38.323)	(12, 38.253)	(14, 39.754000000000005)	(16, 39.831500000000005)	(18, 39.7215)	(20, 39.453500000000005)	(22, 39.681)	(24, 39.54550701402806)	(26, 39.57496085450741)	(28, 39.42778335005015)	(30, 39.274096385542165)	(32, 39.158225363766626)	(34, 39.163316582914575)	(36, 39.03366834170855)	(38, 38.70070422535211)	(40, 39.01659959758551)	(42, 39.017605633802816)	(44, 38.948136958710975)	(46, 38.674240368756884)	(48, 38.37994964814985)	(50, 38.30586450960566)	(52, 37.94985324398341)	(54, 37.97868641220245)	(56, 37.446686661042605)	(58, 37.391149542217704)	(60, 37.37038730798706)	(62, 37.26605504587155)	(64, 37.00204081632653)	(66, 36.48877551020408)	(68, 35.977897583956974)	(70, 35.738672302591894)	(72, 35.443135245901644)	(74, 35.15076923076923)	(76, 33.99331963001028)	(78, 34.45832272707989)	(80, 34.427400021793616)	(82, 34.321243523316056)	(84, 34.16032207210843)	(86, 34.07016632016632)	(88, 33.96141487166287)	(90, 33.71489317284079)	(92, 33.79791481125504)	(94, 33.77684451926832)	(96, 33.71430742568867)	(98, 33.85552641239663)	(100, 33.95754189944134)
