Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
SRR1552444	(23.0, 1.0)	(24.0, 0.0)	(25.0, 1.0)	(26.0, 4.0)	(27.0, 3.0)	(28.0, 5.0)	(29.0, 12.0)	(30.0, 12.0)	(31.0, 13.0)	(32.0, 26.0)	(33.0, 40.0)	(34.0, 75.0)	(35.0, 75.0)	(36.0, 108.0)	(37.0, 270.0)	(38.0, 275.0)	(39.0, 78.0)	(40.0, 1.0)
SRR1552445	(25.0, 2.0)	(26.0, 3.0)	(27.0, 14.0)	(28.0, 4.0)	(29.0, 9.0)	(30.0, 16.0)	(31.0, 20.0)	(32.0, 35.0)	(33.0, 37.0)	(34.0, 62.0)	(35.0, 62.0)	(36.0, 159.0)	(37.0, 212.0)	(38.0, 290.0)	(39.0, 74.0)	(40.0, 1.0)		
SRR1552446	(24.0, 2.0)	(25.0, 1.0)	(26.0, 3.0)	(27.0, 7.0)	(28.0, 9.0)	(29.0, 9.0)	(30.0, 15.0)	(31.0, 12.0)	(32.0, 41.0)	(33.0, 45.0)	(34.0, 54.0)	(35.0, 66.0)	(36.0, 128.0)	(37.0, 200.0)	(38.0, 308.0)	(39.0, 100.0)		
SRR1552447	(24.0, 2.0)	(25.0, 1.0)	(26.0, 2.0)	(27.0, 2.0)	(28.0, 7.0)	(29.0, 14.0)	(30.0, 13.0)	(31.0, 26.0)	(32.0, 27.0)	(33.0, 36.0)	(34.0, 56.0)	(35.0, 71.0)	(36.0, 139.0)	(37.0, 208.0)	(38.0, 308.0)	(39.0, 87.0)		
SRR1552448	(25.0, 3.0)	(26.0, 1.0)	(27.0, 4.0)	(28.0, 13.0)	(29.0, 21.0)	(30.0, 16.0)	(31.0, 18.0)	(32.0, 20.0)	(33.0, 35.0)	(34.0, 70.0)	(35.0, 69.0)	(36.0, 102.0)	(37.0, 211.0)	(38.0, 344.0)	(39.0, 73.0)			
SRR1552449	(23.0, 1.0)	(24.0, 0.0)	(25.0, 3.0)	(26.0, 4.0)	(27.0, 6.0)	(28.0, 9.0)	(29.0, 8.0)	(30.0, 23.0)	(31.0, 21.0)	(32.0, 20.0)	(33.0, 39.0)	(34.0, 48.0)	(35.0, 88.0)	(36.0, 115.0)	(37.0, 211.0)	(38.0, 297.0)	(39.0, 107.0)	
SRR1552450	(24.0, 1.0)	(25.0, 1.0)	(26.0, 3.0)	(27.0, 8.0)	(28.0, 9.0)	(29.0, 13.0)	(30.0, 12.0)	(31.0, 10.0)	(32.0, 18.0)	(33.0, 32.0)	(34.0, 54.0)	(35.0, 69.0)	(36.0, 115.0)	(37.0, 234.0)	(38.0, 334.0)	(39.0, 86.0)	(40.0, 1.0)	
SRR1552451	(23.0, 1.0)	(24.0, 1.0)	(25.0, 5.0)	(26.0, 6.0)	(27.0, 6.0)	(28.0, 12.0)	(29.0, 7.0)	(30.0, 20.0)	(31.0, 21.0)	(32.0, 20.0)	(33.0, 22.0)	(34.0, 49.0)	(35.0, 68.0)	(36.0, 136.0)	(37.0, 258.0)	(38.0, 279.0)	(39.0, 89.0)	
SRR1552452	(24.0, 1.0)	(25.0, 6.0)	(26.0, 3.0)	(27.0, 9.0)	(28.0, 14.0)	(29.0, 7.0)	(30.0, 18.0)	(31.0, 17.0)	(32.0, 35.0)	(33.0, 28.0)	(34.0, 39.0)	(35.0, 68.0)	(36.0, 122.0)	(37.0, 264.0)	(38.0, 296.0)	(39.0, 73.0)		
SRR1552453	(24.0, 3.0)	(25.0, 2.0)	(26.0, 1.0)	(27.0, 4.0)	(28.0, 8.0)	(29.0, 10.0)	(30.0, 18.0)	(31.0, 18.0)	(32.0, 22.0)	(33.0, 18.0)	(34.0, 47.0)	(35.0, 65.0)	(36.0, 114.0)	(37.0, 260.0)	(38.0, 337.0)	(39.0, 72.0)	(40.0, 1.0)	
SRR1552454	(22.0, 1.0)	(23.0, 0.0)	(24.0, 1.0)	(25.0, 0.0)	(26.0, 3.0)	(27.0, 10.0)	(28.0, 8.0)	(29.0, 8.0)	(30.0, 11.0)	(31.0, 21.0)	(32.0, 33.0)	(33.0, 28.0)	(34.0, 44.0)	(35.0, 80.0)	(36.0, 135.0)	(37.0, 262.0)	(38.0, 292.0)	(39.0, 63.0)
SRR1552455	(24.0, 1.0)	(25.0, 5.0)	(26.0, 2.0)	(27.0, 11.0)	(28.0, 7.0)	(29.0, 7.0)	(30.0, 17.0)	(31.0, 16.0)	(32.0, 18.0)	(33.0, 28.0)	(34.0, 42.0)	(35.0, 67.0)	(36.0, 148.0)	(37.0, 262.0)	(38.0, 293.0)	(39.0, 74.0)	(40.0, 1.0)	
