Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
SRR1552444	(28, 1.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 1.0)	(38, 1.0)	(40, 0.0)	(42, 1.0)	(44, 0.0)	(46, 4.0)	(48, 1.0)	(50, 0.0)	(52, 0.0)	(54, 1.0)	(56, 3.0)	(58, 2.0)	(60, 2.0)	(62, 0.0)	(64, 2.0)	(66, 1.0)	(68, 1.0)	(70, 6.0)	(72, 3.0)	(74, 1.0)	(76, 3.0)	(78, 0.0)	(80, 2.0)	(82, 0.0)	(84, 4.0)	(86, 1.0)	(88, 4.0)	(90, 6.0)	(92, 4.0)	(94, 10.0)	(96, 39.0)	(98, 9.0)	(100, 886.0)				
SRR1552445	(24, 1.0)	(26, 2.0)	(28, 0.0)	(30, 1.0)	(32, 1.0)	(34, 0.0)	(36, 0.0)	(38, 1.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 1.0)	(56, 1.0)	(58, 0.0)	(60, 0.0)	(62, 1.0)	(64, 3.0)	(66, 3.0)	(68, 4.0)	(70, 7.0)	(72, 8.0)	(74, 2.0)	(76, 0.0)	(78, 0.0)	(80, 2.0)	(82, 1.0)	(84, 1.0)	(86, 1.0)	(88, 3.0)	(90, 6.0)	(92, 7.0)	(94, 8.0)	(96, 40.0)	(98, 14.0)	(100, 881.0)		
SRR1552446	(28, 1.0)	(30, 2.0)	(32, 1.0)	(34, 1.0)	(36, 2.0)	(38, 2.0)	(40, 1.0)	(42, 0.0)	(44, 2.0)	(46, 2.0)	(48, 2.0)	(50, 1.0)	(52, 1.0)	(54, 2.0)	(56, 2.0)	(58, 2.0)	(60, 2.0)	(62, 1.0)	(64, 3.0)	(66, 1.0)	(68, 3.0)	(70, 5.0)	(72, 0.0)	(74, 2.0)	(76, 1.0)	(78, 1.0)	(80, 1.0)	(82, 4.0)	(84, 4.0)	(86, 3.0)	(88, 1.0)	(90, 5.0)	(92, 4.0)	(94, 6.0)	(96, 26.0)	(98, 7.0)	(100, 896.0)				
SRR1552447	(22, 1.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 1.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 1.0)	(44, 2.0)	(46, 0.0)	(48, 0.0)	(50, 1.0)	(52, 0.0)	(54, 2.0)	(56, 0.0)	(58, 1.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 2.0)	(68, 2.0)	(70, 4.0)	(72, 3.0)	(74, 0.0)	(76, 1.0)	(78, 1.0)	(80, 0.0)	(82, 2.0)	(84, 0.0)	(86, 2.0)	(88, 3.0)	(90, 3.0)	(92, 3.0)	(94, 7.0)	(96, 29.0)	(98, 19.0)	(100, 909.0)	
SRR1552448	(40, 1.0)	(42, 0.0)	(44, 0.0)	(46, 3.0)	(48, 0.0)	(50, 0.0)	(52, 1.0)	(54, 0.0)	(56, 2.0)	(58, 1.0)	(60, 1.0)	(62, 4.0)	(64, 2.0)	(66, 1.0)	(68, 3.0)	(70, 5.0)	(72, 3.0)	(74, 1.0)	(76, 0.0)	(78, 2.0)	(80, 0.0)	(82, 1.0)	(84, 5.0)	(86, 3.0)	(88, 1.0)	(90, 4.0)	(92, 7.0)	(94, 8.0)	(96, 41.0)	(98, 19.0)	(100, 881.0)										
SRR1552449	(20, 1.0)	(22, 0.0)	(24, 0.0)	(26, 1.0)	(28, 2.0)	(30, 0.0)	(32, 1.0)	(34, 0.0)	(36, 1.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 2.0)	(46, 2.0)	(48, 1.0)	(50, 0.0)	(52, 1.0)	(54, 1.0)	(56, 0.0)	(58, 1.0)	(60, 0.0)	(62, 0.0)	(64, 3.0)	(66, 0.0)	(68, 1.0)	(70, 2.0)	(72, 3.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 1.0)	(82, 2.0)	(84, 1.0)	(86, 3.0)	(88, 3.0)	(90, 2.0)	(92, 6.0)	(94, 8.0)	(96, 35.0)	(98, 12.0)	(100, 904.0)
SRR1552450	(36, 1.0)	(38, 1.0)	(40, 0.0)	(42, 1.0)	(44, 1.0)	(46, 2.0)	(48, 0.0)	(50, 2.0)	(52, 0.0)	(54, 0.0)	(56, 2.0)	(58, 1.0)	(60, 1.0)	(62, 1.0)	(64, 1.0)	(66, 3.0)	(68, 0.0)	(70, 1.0)	(72, 0.0)	(74, 1.0)	(76, 1.0)	(78, 0.0)	(80, 3.0)	(82, 3.0)	(84, 1.0)	(86, 2.0)	(88, 1.0)	(90, 6.0)	(92, 7.0)	(94, 4.0)	(96, 32.0)	(98, 19.0)	(100, 902.0)								
SRR1552451	(24, 1.0)	(26, 0.0)	(28, 1.0)	(30, 0.0)	(32, 1.0)	(34, 0.0)	(36, 0.0)	(38, 1.0)	(40, 1.0)	(42, 0.0)	(44, 1.0)	(46, 3.0)	(48, 1.0)	(50, 0.0)	(52, 1.0)	(54, 1.0)	(56, 1.0)	(58, 0.0)	(60, 1.0)	(62, 1.0)	(64, 0.0)	(66, 3.0)	(68, 1.0)	(70, 2.0)	(72, 2.0)	(74, 2.0)	(76, 1.0)	(78, 1.0)	(80, 0.0)	(82, 1.0)	(84, 2.0)	(86, 1.0)	(88, 4.0)	(90, 4.0)	(92, 5.0)	(94, 4.0)	(96, 38.0)	(98, 16.0)	(100, 898.0)		
SRR1552452	(24, 1.0)	(26, 0.0)	(28, 0.0)	(30, 1.0)	(32, 0.0)	(34, 2.0)	(36, 1.0)	(38, 0.0)	(40, 1.0)	(42, 1.0)	(44, 2.0)	(46, 1.0)	(48, 1.0)	(50, 1.0)	(52, 1.0)	(54, 2.0)	(56, 1.0)	(58, 0.0)	(60, 4.0)	(62, 2.0)	(64, 2.0)	(66, 2.0)	(68, 0.0)	(70, 3.0)	(72, 4.0)	(74, 1.0)	(76, 1.0)	(78, 1.0)	(80, 2.0)	(82, 3.0)	(84, 2.0)	(86, 3.0)	(88, 2.0)	(90, 7.0)	(92, 6.0)	(94, 9.0)	(96, 32.0)	(98, 15.0)	(100, 883.0)		
SRR1552453	(24, 2.0)	(26, 1.0)	(28, 1.0)	(30, 0.0)	(32, 1.0)	(34, 0.0)	(36, 1.0)	(38, 0.0)	(40, 0.0)	(42, 1.0)	(44, 0.0)	(46, 3.0)	(48, 1.0)	(50, 0.0)	(52, 2.0)	(54, 3.0)	(56, 1.0)	(58, 0.0)	(60, 2.0)	(62, 1.0)	(64, 0.0)	(66, 0.0)	(68, 1.0)	(70, 3.0)	(72, 1.0)	(74, 2.0)	(76, 1.0)	(78, 3.0)	(80, 4.0)	(82, 0.0)	(84, 3.0)	(86, 3.0)	(88, 4.0)	(90, 2.0)	(92, 4.0)	(94, 5.0)	(96, 32.0)	(98, 17.0)	(100, 895.0)		
SRR1552454	(20, 1.0)	(22, 0.0)	(24, 1.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 1.0)	(34, 0.0)	(36, 2.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 1.0)	(46, 0.0)	(48, 1.0)	(50, 1.0)	(52, 1.0)	(54, 1.0)	(56, 2.0)	(58, 0.0)	(60, 3.0)	(62, 0.0)	(64, 0.0)	(66, 2.0)	(68, 1.0)	(70, 4.0)	(72, 1.0)	(74, 0.0)	(76, 1.0)	(78, 1.0)	(80, 1.0)	(82, 1.0)	(84, 5.0)	(86, 2.0)	(88, 5.0)	(90, 5.0)	(92, 10.0)	(94, 12.0)	(96, 27.0)	(98, 9.0)	(100, 898.0)
SRR1552455	(26, 1.0)	(28, 1.0)	(30, 1.0)	(32, 1.0)	(34, 0.0)	(36, 0.0)	(38, 2.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 1.0)	(48, 1.0)	(50, 2.0)	(52, 2.0)	(54, 1.0)	(56, 1.0)	(58, 2.0)	(60, 0.0)	(62, 1.0)	(64, 2.0)	(66, 0.0)	(68, 1.0)	(70, 1.0)	(72, 1.0)	(74, 1.0)	(76, 0.0)	(78, 3.0)	(80, 0.0)	(82, 3.0)	(84, 3.0)	(86, 3.0)	(88, 5.0)	(90, 9.0)	(92, 7.0)	(94, 4.0)	(96, 24.0)	(98, 16.0)	(100, 899.0)			
