Sample	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
SRR1552444	0.20020020020020013	49.0	98.14014014014015	100	9.090909090909092	0.0009989999999999999
SRR1552445	0.20000000000000284	50.0	98.148	100	9.090909090909092	0.001
SRR1552446	1.2999999999999972	48.0	97.606	100	9.090909090909092	0.001
SRR1552447	0.5005005005004932	48.0	98.76476476476476	100	9.090909090909092	0.0009989999999999999
SRR1552448	3.299999999999997	48.0	98.404	100	18.181818181818183	0.001
SRR1552449	1.7999999999999972	48.0	98.448	100	9.090909090909092	0.001
SRR1552450	0.09999999999999432	50.0	98.65	100	18.181818181818183	0.001
SRR1552451	0.09999999999999432	49.0	98.428	100	9.090909090909092	0.001
SRR1552452	0.09999999999999432	50.0	97.916	100	9.090909090909092	0.001
SRR1552453	0.20000000000000284	50.0	98.148	100	9.090909090909092	0.001
SRR1552454	0.0	50.0	98.36	100	18.181818181818183	0.001
SRR1552455	0.20020020020020013	50.0	98.32032032032032	100	9.090909090909092	0.0009989999999999999
